Site	Scale	Scalea	Scalenum	Date	Datenum	Datee	Sentinel	Eggs	Larvae	SL	LL	Pupae	Adult	allcw	immature	Aphid	Defol	Substrate	Totalne	Totalparasitoid	Totalonlyattackcw	Totalshannon	Totalstigma	Totalpred	Totalnenew
15	Residential	Residential garden	3	Jun. 30	B	2	N	0	6	1	2	0	0	6	6	2	20	Ground	57	54	38	2.543888	5	20	74
12	Residential	Residential garden	3	Jun. 30	B	2	N	5	6	1	3	4	0	15	15	0	22	Raised	67	58	48	2.051907	2	16	74
13	Residential	Residential garden	3	Jun. 30	B	2	N	2	9	1	1	1	0	12	12	1	16.66666667	Raised	99	134	102	2.45497	14	15	149
11	Community	Community garden	1	Jul. 14	C	3	Y	0	0	0	0	0	0	0	0	0	5	Raised	61	48	34	2.099151	12	13	61
27	Community	Community garden	1	Jul. 14	C	3	Y	7	1	1	0	0	3	11	8	0	12	Ground	93	54	31	2.242297	9	63	117
30	Community	Community garden	1	Jul. 14	C	3	Y	3	0	0	0	0	0	3	3	0	22	Ground	199	99	61	2.436293	13	99	198
7	Community	Community garden	1	Jul. 14	C	3	Y	5	1	0	1	0	0	6	6	13	4	Raised	141	110	66	2.549053	21	41	151
25	Community	Community garden	1	Jul. 14	C	3	Y	0	0	0	0	0	0	0	0	2	4	Raised	119	116	64	2.434081	6	71	187
28	Community	Community garden	1	Jul. 14	C	3	Y	1	0	0	0	0	1	2	1	0	12	Raised	160	134	100	2.365507	20	36	170
22	Community	Community garden	1	Jul. 14	C	3	Y	1	0	0	0	0	1	2	1	0	7.5	Raised	236	151	72	2.667071	2	73	224
9	Farm	Farm	2	Jul. 14	C	3	Y	54	1	0	0	1	0	56	56	12	15	Ground	73	50	44	2.562393	2	23	73
2	Farm	Farm	2	Jul. 14	C	3	Y	0	0	0	0	0	0	0	0	0	0	Ground	96	73	45	2.503894	5	24	97
24	Farm	Farm	2	Jul. 14	C	3	Y	2	1	0	0	0	0	3	3	0	8	Ground	186	83	49	1.873178	28	112	195
18	Farm	Farm	2	Jul. 14	C	3	Y	1	0	0	0	1	1	3	2	1	6	Raised	165	120	79	2.543979	14	34	154
4	Farm	Farm	2	Jul. 14	C	3	Y	1	0	0	0	0	1	2	1	0	0	Ground	181	120	101	2.02276	10	65	185
23	Farm	Farm	2	Jul. 14	C	3	Y	0	0	0	0	0	0	0	0	0	10	Raised	232	160	135	2.515527	10	83	243
3	Farm	Farm	2	Jul. 14	C	3	Y	14	3	1	2	0	0	17	17	2	20	Ground	252	255	149	2.406851	26	44	299
16	Farm	Farm	2	Jul. 14	C	3	Y	1	2	0	0	0	1	4	3	3	4	Ground	360	314	245	2.29784	16	46	360
15	Residential	Residential garden	3	Jul. 14	C	3	Y	0	0	0	0	0	0	0	0	0	10	Ground	42	26	18	2.333606	0	15	41
6	Residential	Residential garden	3	Jul. 14	C	3	Y	2	1	0	1	0	0	3	3	0	20	Raised	70	37	33	2.499879	5	28	65
1	Residential	Residential garden	3	Jul. 14	C	3	Y	7	1	0	0	0	0	8	8	4	20	Ground	59	40	31	2.599555	1	21	61
12	Residential	Residential garden	3	Jul. 14	C	3	Y	5	0	0	0	8	0	13	13	0	22	Raised	86	44	38	1.888836	4	47	91
21	Residential	Residential garden	3	Jul. 14	C	3	Y	0	1	1	0	0	0	1	1	7	4	Raised	120	55	47	2.281932	5	49	104
8	Residential	Residential garden	3	Jul. 14	C	3	Y	0	0	0	0	0	0	0	0	0	0	Ground	176	111	81	2.541119	7	80	191
19	Residential	Residential garden	3	Jul. 14	C	3	Y	0	0	0	0	0	0	0	0	0	5	Ground	307	117	86	2.537685	6	175	292
26	Residential	Residential garden	3	Jul. 14	C	3	Y	0	0	0	0	0	0	0	0	0	20	Raised	356	136	66	2.049678	4	182	318
20	Residential	Residential garden	3	Jul. 14	C	3	Y	4	1	0	0	0	0	5	5	0	8	Ground	206	156	97	2.709959	9	57	213
11	Community	Community garden	1	Jul. 28	D	4	N	0	0	0	0	0	0	0	0	0	5	Raised	44	4	4	1.5964823	0	35	39
27	Community	Community garden	1	Jul. 28	D	4	N	2	7	4	0	0	1	10	9	34	18	Ground	144	38	41	2.1107105	4	87	125
28	Community	Community garden	1	Jul. 28	D	4	N	0	3	3	0	0	1	4	3	0	14	Raised	148	40	35	1.7778361	5	100	140
30	Community	Community garden	1	Jul. 28	D	4	N	2	10	9	1	1	3	16	13	1	50	Ground	90	43	27	1.44206	0	51	94
25	Community	Community garden	1	Jul. 28	D	4	N	0	0	0	0	0	0	0	0	0	0	Raised	104	46	33	2.1901694	9	61	107
7	Community	Community garden	1	Jul. 28	D	4	N	4	2	2	0	1	1	8	7	1	2	Raised	211	90	70	2.6715156	9	98	188
10	Community	Community garden	1	Jul. 28	D	4	N	1	0	0	0	0	0	1	1	251	8	Raised	147	91	24	1.5886024	61	41	132
14	Community	Community garden	1	Jul. 28	D	4	N	1	0	0	0	0	1	2	1	0	8	Raised	250	125	94	2.5750223	10	130	255
22	Community	Community garden	1	Jul. 28	D	4	N	11	2	1	1	0	0	13	13	0	10	Raised	198	170	103	2.441915	5	50	220
2	Farm	Farm	2	Jul. 28	D	4	N	0	0	0	0	0	0	0	0	0	0	Ground	31	4	5	1.1492659	0	25	29
18	Farm	Farm	2	Jul. 28	D	4	N	9	2	0	1	1	1	13	12	0	6	Raised	172	84	65	2.2296572	14	79	163
16	Farm	Farm	2	Jul. 28	D	4	N	0	2	0	0	0	0	2	2	0	4	Ground	448	88	235	2.25217	17	72	160
23	Farm	Farm	2	Jul. 28	D	4	N	0	1	1	0	0	0	1	1	0	13.33333333	Raised	256	118	107	2.3569036	34	105	223
24	Farm	Farm	2	Jul. 28	D	4	N	3	1	1	0	1	1	6	5	0	10	Ground	249	127	69	1.9471871	27	135	262
3	Farm	Farm	2	Jul. 28	D	4	N	41	12	7	5	0	0	53	53	2	16	Ground	401	279	189	2.2905394	36	100	379
15	Residential	Residential garden	3	Jul. 28	D	4	N	2	1	0	0	0	0	3	3	1	4	Ground	47	5	5	1.312328	0	34	39
